GO:1902946	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:7955;
GO:0061321	NCBITaxon:7227;
GO:0000989	NCBITaxon:224308;NCBITaxon:10090;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:7955;NCBITaxon:100226;NCBITaxon:7227;NCBITaxon:227321;NCBITaxon:10116;NCBITaxon:9031;NCBITaxon:237561;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:3702;NCBITaxon:208964;
GO:0018064	NCBITaxon:559292;
GO:1903862	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7227;
GO:2001145	NCBITaxon:10090;
GO:0005539	NCBITaxon:224308;NCBITaxon:10090;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:83333;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:99287;NCBITaxon:9031;NCBITaxon:10116;NCBITaxon:36329;NCBITaxon:9823;NCBITaxon:208964;NCBITaxon:3702;
GO:0046467	NCBITaxon:171101;NCBITaxon:10090;NCBITaxon:83332;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:214684;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:185431;NCBITaxon:99287;NCBITaxon:227321;NCBITaxon:10116;NCBITaxon:36329;NCBITaxon:237561;NCBITaxon:284812;NCBITaxon:3702;NCBITaxon:208964;NCBITaxon:1111708;
GO:0015227	NCBITaxon:10090;NCBITaxon:9606;
GO:1900017	NCBITaxon:10090;NCBITaxon:9606;
GO:0006049	NCBITaxon:10090;
GO:0051117	NCBITaxon:224308;NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:9615;NCBITaxon:9823;NCBITaxon:9913;NCBITaxon:3702;
GO:0048495	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7227;
GO:0070820	NCBITaxon:9606;
GO:0034450	NCBITaxon:10090;NCBITaxon:284812;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;
GO:0038101	NCBITaxon:10090;
GO:0004051	NCBITaxon:10116;NCBITaxon:9606;NCBITaxon:7955;
GO:0048036	NCBITaxon:7227;
GO:0045907	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:9606;
GO:0050942	NCBITaxon:10090;NCBITaxon:9606;
GO:0009027	NCBITaxon:83333;
GO:0097449	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;
GO:0036112	NCBITaxon:9606;
GO:0000767	NCBITaxon:284812;NCBITaxon:559292;
GO:0046325	NCBITaxon:83333;NCBITaxon:9031;NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;
GO:0016057	NCBITaxon:7227;
GO:0001761	NCBITaxon:10090;NCBITaxon:83333;
GO:0001132	NCBITaxon:284812;NCBITaxon:559292;NCBITaxon:7227;
GO:1901679	NCBITaxon:3702;
